Id,School Code,School Name,Year,Enrolment
0,131,Alberton Elementary School,1999,229
1,231,Amherst Cove Consolidated School,1999,184
2,221,Athena Consolidated School,1999,438
3,440,Belfast Consolidated School,1999,286
4,320,Birchwood Intermediate School,1999,458
5,132,Bloomfield Elementary School,1999,235
6,314,Bluefield High School,1999,826
7,441,Cardigan Consolidated School,1999,234
8,341,Central Queens Elementary School,1999,288
9,310,Charlottetown Rural High School,1999,1053
10,311,Colonel Gray Senior High School,1999,944
11,344,Donagh Regional School,1999,178
12,442,Dundas Consolidated School,1999,76
13,324,East Wiltshire Intermediate School,1999,626
14,443,Eastern Kings Consolidated School,1999,92
15,510,École Évangéline,1999,443
16,511,École François-Buote,1999,166
17,342,Eliot River Elementary School,1999,403
18,134,Ellerslie Elementary School,1999,243
19,232,Elm Street Elementary School,1999,477
20,345,Englewood School,1999,259
21,444,Fortune Consolidated School,1999,119
22,445,Georgetown Elementary School,1999,95
23,340,Glen Stewart Elementary School,1999,673
24,357,Grand Tracadie Elementary School,1999,55
25,237,Greenfield Elementary School,1999,434
26,348,Gulf Shore Consolidated School,1999,339
27,122,Hernewood Intermediate School,1999,377
28,211,Kensington Intermediate Senior High School,1999,468
29,212,Kinkora Regional High School,1999,200
30,343,L.M. Montgomery Elementary School,1999,392
31,123,M.E. Callaghan Intermediate School,1999,363
32,222,Miscouche Consolidated School,1999,231
33,446,Montague Consolidated School,1999,410
34,420,Montague Intermediate School,1999,345
35,410,Montague Regional High School,1999,710
36,447,Morell Consolidated School,1999,227
37,411,Morell Regional High School,1999,325
38,448,Mount Stewart Consolidated School,1999,120
39,133,O'Leary Elementary School,1999,260
40,346,Parkdale Elementary School,1999,198
41,236,Parkside Elementary School,1999,318
42,347,Prince Street Elementary School,1999,363
43,321,Queen Charlotte Intermediate School,1999,555
44,233,Queen Elizabeth Elementary School,1999,463
45,449,Rollo Bay Consolidated School,1999,139
46,349,Sherwood Elementary School,1999,631
47,234,Somerset Elementary School,1999,206
48,450,Souris Consolidated School,1999,246
49,412,Souris Regional High School,1999,367
50,451,Southern Kings Consolidated School,1999,375
51,351,Spring Park Elementary School,1999,516
52,354,St. Jean Elementary School,1999,222
53,135,St. Louis Elementary School,1999,196
54,452,St. Peter’s Consolidated School,1999,113
55,453,St. Teresa’s Consolidated School,1999,69
56,323,Stonepark Intermediate School,1999,846
57,220,Summerside Intermediate School,1999,626
58,215,Three Oaks Senior High School,1999,856
59,130,Tignish Elementary School,1999,300
60,454,Tracadie Cross Consolidated School,1999,124
61,455,Vernon River Consolidated School,1999,256
62,355,West Kent Elementary School,1999,359
63,356,West Royalty Elementary School,1999,207
64,113,Westisle Composite High School,1999,813
65,350,Westwood Primary School,1999,424
66,131,Alberton Elementary School,2000,231
67,231,Amherst Cove Consolidated School,2000,180
68,221,Athena Consolidated School,2000,420
69,440,Belfast Consolidated School,2000,286
70,320,Birchwood Intermediate School,2000,433
71,132,Bloomfield Elementary School,2000,221
72,314,Bluefield High School,2000,807
73,441,Cardigan Consolidated School,2000,235
74,341,Central Queens Elementary School,2000,274
75,310,Charlottetown Rural High School,2000,1097
76,311,Colonel Gray Senior High School,2000,966
77,344,Donagh Regional School,2000,168
78,442,Dundas Consolidated School,2000,77
79,324,East Wiltshire Intermediate School,2000,620
80,443,Eastern Kings Consolidated School,2000,100
81,510,École Évangéline,2000,418
82,511,École François-Buote,2000,170
83,514,École Pierre-Chiasson,2000,6
84,512,École St-Augustin,2000,5
85,513,École-sur-Mer,2000,4
86,342,Eliot River Elementary School,2000,417
87,134,Ellerslie Elementary School,2000,223
88,232,Elm Street Elementary School,2000,476
89,345,Englewood School,2000,234
90,444,Fortune Consolidated School,2000,122
91,445,Georgetown Elementary School,2000,95
92,340,Glen Stewart Elementary School,2000,632
93,357,Grand Tracadie Elementary School,2000,54
94,237,Greenfield Elementary School,2000,409
95,348,Gulf Shore Consolidated School,2000,332
96,122,Hernewood Intermediate School,2000,375
97,211,Kensington Intermediate Senior High School,2000,460
98,212,Kinkora Regional High School,2000,214
99,343,L.M. Montgomery Elementary School,2000,388
100,123,M.E. Callaghan Intermediate School,2000,350
101,222,Miscouche Consolidated School,2000,233
102,446,Montague Consolidated School,2000,405
103,420,Montague Intermediate School,2000,357
104,410,Montague Regional High School,2000,715
105,447,Morell Consolidated School,2000,215
106,411,Morell Regional High School,2000,327
107,448,Mount Stewart Consolidated School,2000,120
108,133,O'Leary Elementary School,2000,237
109,346,Parkdale Elementary School,2000,169
110,236,Parkside Elementary School,2000,303
111,347,Prince Street Elementary School,2000,353
112,321,Queen Charlotte Intermediate School,2000,531
113,233,Queen Elizabeth Elementary School,2000,440
114,449,Rollo Bay Consolidated School,2000,135
115,349,Sherwood Elementary School,2000,627
116,234,Somerset Elementary School,2000,198
117,450,Souris Consolidated School,2000,234
118,412,Souris Regional High School,2000,350
119,451,Southern Kings Consolidated School,2000,359
120,351,Spring Park Elementary School,2000,491
121,354,St. Jean Elementary School,2000,230
122,135,St. Louis Elementary School,2000,180
123,452,St. Peter’s Consolidated School,2000,111
124,453,St. Teresa’s Consolidated School,2000,64
125,323,Stonepark Intermediate School,2000,835
126,220,Summerside Intermediate School,2000,621
127,215,Three Oaks Senior High School,2000,876
128,130,Tignish Elementary School,2000,297
129,454,Tracadie Cross Consolidated School,2000,124
130,455,Vernon River Consolidated School,2000,252
131,355,West Kent Elementary School,2000,138
132,356,West Royalty Elementary School,2000,458
133,113,Westisle Composite High School,2000,761
134,350,Westwood Primary School,2000,428
135,131,Alberton Elementary School,2001,237
136,231,Amherst Cove Consolidated School,2001,192
137,221,Athena Consolidated School,2001,433
138,440,Belfast Consolidated School,2001,283
139,320,Birchwood Intermediate School,2001,447
140,132,Bloomfield Elementary School,2001,205
141,314,Bluefield High School,2001,850
142,441,Cardigan Consolidated School,2001,215
143,341,Central Queens Elementary School,2001,264
144,310,Charlottetown Rural High School,2001,1083
145,311,Colonel Gray Senior High School,2001,972
146,344,Donagh Regional School,2001,166
147,442,Dundas Consolidated School,2001,78
148,324,East Wiltshire Intermediate School,2001,581
149,443,Eastern Kings Consolidated School,2001,83
150,510,École Évangéline,2001,388
151,511,École François-Buote,2001,167
152,514,École Pierre-Chiasson,2001,17
153,512,École St-Augustin,2001,10
154,513,École-sur-Mer,2001,24
155,342,Eliot River Elementary School,2001,439
156,134,Ellerslie Elementary School,2001,214
157,232,Elm Street Elementary School,2001,444
158,345,Englewood School,2001,239
159,444,Fortune Consolidated School,2001,129
160,445,Georgetown Elementary School,2001,93
161,340,Glen Stewart Elementary School,2001,646
162,357,Grand Tracadie Elementary School,2001,54
163,237,Greenfield Elementary School,2001,406
164,348,Gulf Shore Consolidated School,2001,331
165,122,Hernewood Intermediate School,2001,399
166,211,Kensington Intermediate Senior High School,2001,480
167,212,Kinkora Regional High School,2001,210
168,343,L.M. Montgomery Elementary School,2001,404
169,123,M.E. Callaghan Intermediate School,2001,363
170,222,Miscouche Consolidated School,2001,241
171,446,Montague Consolidated School,2001,412
172,420,Montague Intermediate School,2001,351
173,410,Montague Regional High School,2001,718
174,447,Morell Consolidated School,2001,213
175,411,Morell Regional High School,2001,338
176,448,Mount Stewart Consolidated School,2001,118
177,133,O'Leary Elementary School,2001,231
178,346,Parkdale Elementary School,2001,159
179,236,Parkside Elementary School,2001,289
180,347,Prince Street Elementary School,2001,327
181,321,Queen Charlotte Intermediate School,2001,560
182,233,Queen Elizabeth Elementary School,2001,405
183,449,Rollo Bay Consolidated School,2001,126
184,349,Sherwood Elementary School,2001,571
185,234,Somerset Elementary School,2001,188
186,450,Souris Consolidated School,2001,245
187,412,Souris Regional High School,2001,344
188,451,Southern Kings Consolidated School,2001,332
189,351,Spring Park Elementary School,2001,487
190,354,St. Jean Elementary School,2001,209
191,135,St. Louis Elementary School,2001,169
192,452,St. Peter’s Consolidated School,2001,109
193,453,St. Teresa’s Consolidated School,2001,62
194,323,Stonepark Intermediate School,2001,764
195,220,Summerside Intermediate School,2001,620
196,215,Three Oaks Senior High School,2001,903
197,130,Tignish Elementary School,2001,293
198,454,Tracadie Cross Consolidated School,2001,123
199,455,Vernon River Consolidated School,2001,236
200,355,West Kent Elementary School,2001,127
201,356,West Royalty Elementary School,2001,450
202,113,Westisle Composite High School,2001,728
203,350,Westwood Primary School,2001,435
204,131,Alberton Elementary School,2002,213
205,231,Amherst Cove Consolidated School,2002,194
206,221,Athena Consolidated School,2002,435
207,440,Belfast Consolidated School,2002,264
208,320,Birchwood Intermediate School,2002,470
209,132,Bloomfield Elementary School,2002,202
210,314,Bluefield High School,2002,853
211,441,Cardigan Consolidated School,2002,201
212,341,Central Queens Elementary School,2002,247
213,310,Charlottetown Rural High School,2002,1060
214,311,Colonel Gray Senior High School,2002,929
215,344,Donagh Regional School,2002,163
216,442,Dundas Consolidated School,2002,78
217,324,East Wiltshire Intermediate School,2002,611
218,443,Eastern Kings Consolidated School,2002,81
219,510,École Évangéline,2002,365
220,511,École François-Buote,2002,171
221,514,École Pierre-Chiasson,2002,35
222,512,École St-Augustin,2002,17
223,513,École-sur-Mer,2002,38
224,342,Eliot River Elementary School,2002,437
225,134,Ellerslie Elementary School,2002,193
226,232,Elm Street Elementary School,2002,488
227,345,Englewood School,2002,240
228,444,Fortune Consolidated School,2002,116
229,445,Georgetown Elementary School,2002,102
230,340,Glen Stewart Elementary School,2002,659
231,357,Grand Tracadie Elementary School,2002,50
232,237,Greenfield Elementary School,2002,414
233,348,Gulf Shore Consolidated School,2002,321
234,122,Hernewood Intermediate School,2002,427
235,211,Kensington Intermediate Senior High School,2002,487
236,212,Kinkora Regional High School,2002,201
237,343,L.M. Montgomery Elementary School,2002,380
238,123,M.E. Callaghan Intermediate School,2002,330
239,222,Miscouche Consolidated School,2002,253
240,446,Montague Consolidated School,2002,414
241,420,Montague Intermediate School,2002,316
242,410,Montague Regional High School,2002,720
243,447,Morell Consolidated School,2002,221
244,411,Morell Regional High School,2002,346
245,448,Mount Stewart Consolidated School,2002,89
246,133,O'Leary Elementary School,2002,222
247,346,Parkdale Elementary School,2002,140
248,236,Parkside Elementary School,2002,269
249,347,Prince Street Elementary School,2002,310
250,321,Queen Charlotte Intermediate School,2002,550
251,233,Queen Elizabeth Elementary School,2002,387
252,449,Rollo Bay Consolidated School,2002,125
253,349,Sherwood Elementary School,2002,548
254,234,Somerset Elementary School,2002,197
255,450,Souris Consolidated School,2002,242
256,412,Souris Regional High School,2002,348
257,451,Southern Kings Consolidated School,2002,325
258,351,Spring Park Elementary School,2002,471
259,354,St. Jean Elementary School,2002,205
260,135,St. Louis Elementary School,2002,165
261,452,St. Peter’s Consolidated School,2002,98
262,453,St. Teresa’s Consolidated School,2002,66
263,323,Stonepark Intermediate School,2002,814
264,220,Summerside Intermediate School,2002,622
265,215,Three Oaks Senior High School,2002,924
266,130,Tignish Elementary School,2002,273
267,454,Tracadie Cross Consolidated School,2002,127
268,455,Vernon River Consolidated School,2002,245
269,355,West Kent Elementary School,2002,121
270,356,West Royalty Elementary School,2002,436
271,113,Westisle Composite High School,2002,742
272,350,Westwood Primary School,2002,416
273,131,Alberton Elementary School,2003,225
274,231,Amherst Cove Consolidated School,2003,190
275,221,Athena Consolidated School,2003,421
276,440,Belfast Consolidated School,2003,251
277,320,Birchwood Intermediate School,2003,460
278,132,Bloomfield Elementary School,2003,206
279,314,Bluefield High School,2003,831
280,441,Cardigan Consolidated School,2003,191
281,341,Central Queens Elementary School,2003,230
282,310,Charlottetown Rural High School,2003,1035
283,311,Colonel Gray Senior High School,2003,918
284,344,Donagh Regional School,2003,161
285,442,Dundas Consolidated School,2003,74
286,324,East Wiltshire Intermediate School,2003,609
287,443,Eastern Kings Consolidated School,2003,77
288,510,École Évangéline,2003,348
289,511,École François-Buote,2003,205
290,515,École La-Belle-Cloche,2003,13
291,514,École Pierre-Chiasson,2003,40
292,512,École St-Augustin,2003,24
293,513,École-sur-Mer,2003,36
294,342,Eliot River Elementary School,2003,434
295,134,Ellerslie Elementary School,2003,179
296,232,Elm Street Elementary School,2003,467
297,345,Englewood School,2003,235
298,444,Fortune Consolidated School,2003,91
299,445,Georgetown Elementary School,2003,96
300,340,Glen Stewart Elementary School,2003,659
301,357,Grand Tracadie Elementary School,2003,48
302,237,Greenfield Elementary School,2003,413
303,348,Gulf Shore Consolidated School,2003,323
304,122,Hernewood Intermediate School,2003,411
305,211,Kensington Intermediate Senior High School,2003,484
306,212,Kinkora Regional High School,2003,191
307,343,L.M. Montgomery Elementary School,2003,357
308,123,M.E. Callaghan Intermediate School,2003,325
309,222,Miscouche Consolidated School,2003,257
310,446,Montague Consolidated School,2003,426
311,420,Montague Intermediate School,2003,315
312,410,Montague Regional High School,2003,740
313,447,Morell Consolidated School,2003,213
314,411,Morell Regional High School,2003,345
315,448,Mount Stewart Consolidated School,2003,90
316,133,O'Leary Elementary School,2003,214
317,346,Parkdale Elementary School,2003,134
318,236,Parkside Elementary School,2003,236
319,347,Prince Street Elementary School,2003,314
320,321,Queen Charlotte Intermediate School,2003,580
321,233,Queen Elizabeth Elementary School,2003,405
322,449,Rollo Bay Consolidated School,2003,112
323,349,Sherwood Elementary School,2003,549
324,234,Somerset Elementary School,2003,194
325,450,Souris Consolidated School,2003,224
326,412,Souris Regional High School,2003,336
327,451,Southern Kings Consolidated School,2003,314
328,351,Spring Park Elementary School,2003,446
329,354,St. Jean Elementary School,2003,183
330,135,St. Louis Elementary School,2003,160
331,452,St. Peter’s Consolidated School,2003,96
332,453,St. Teresa’s Consolidated School,2003,63
333,323,Stonepark Intermediate School,2003,819
334,220,Summerside Intermediate School,2003,644
335,215,Three Oaks Senior High School,2003,917
336,130,Tignish Elementary School,2003,268
337,454,Tracadie Cross Consolidated School,2003,105
338,455,Vernon River Consolidated School,2003,231
339,355,West Kent Elementary School,2003,135
340,356,West Royalty Elementary School,2003,431
341,113,Westisle Composite High School,2003,737
342,350,Westwood Primary School,2003,394
343,131,Alberton Elementary School,2004,218
344,231,Amherst Cove Consolidated School,2004,183
345,221,Athena Consolidated School,2004,403
346,440,Belfast Consolidated School,2004,238
347,320,Birchwood Intermediate School,2004,443
348,132,Bloomfield Elementary School,2004,197
349,314,Bluefield High School,2004,831
350,441,Cardigan Consolidated School,2004,168
351,341,Central Queens Elementary School,2004,219
352,310,Charlottetown Rural High School,2004,1001
353,311,Colonel Gray Senior High School,2004,931
354,344,Donagh Regional School,2004,151
355,442,Dundas Consolidated School,2004,77
356,324,East Wiltshire Intermediate School,2004,606
357,443,Eastern Kings Consolidated School,2004,79
358,510,École Évangéline,2004,315
359,511,École François-Buote,2004,207
360,515,École La-Belle-Cloche,2004,25
361,514,École Pierre-Chiasson,2004,47
362,512,École St-Augustin,2004,35
363,513,École-sur-Mer,2004,44
364,342,Eliot River Elementary School,2004,423
365,134,Ellerslie Elementary School,2004,183
366,232,Elm Street Elementary School,2004,468
367,345,Englewood School,2004,227
368,444,Fortune Consolidated School,2004,80
369,445,Georgetown Elementary School,2004,89
370,340,Glen Stewart Elementary School,2004,619
371,357,Grand Tracadie Elementary School,2004,41
372,237,Greenfield Elementary School,2004,396
373,348,Gulf Shore Consolidated School,2004,297
374,122,Hernewood Intermediate School,2004,381
375,211,Kensington Intermediate Senior High School,2004,459
376,212,Kinkora Regional High School,2004,192
377,343,L.M. Montgomery Elementary School,2004,320
378,123,M.E. Callaghan Intermediate School,2004,344
379,222,Miscouche Consolidated School,2004,253
380,446,Montague Consolidated School,2004,428
381,420,Montague Intermediate School,2004,344
382,410,Montague Regional High School,2004,720
383,447,Morell Consolidated School,2004,201
384,411,Morell Regional High School,2004,343
385,448,Mount Stewart Consolidated School,2004,80
386,133,O'Leary Elementary School,2004,204
387,346,Parkdale Elementary School,2004,122
388,236,Parkside Elementary School,2004,240
389,347,Prince Street Elementary School,2004,301
390,321,Queen Charlotte Intermediate School,2004,573
391,233,Queen Elizabeth Elementary School,2004,396
392,449,Rollo Bay Consolidated School,2004,115
393,349,Sherwood Elementary School,2004,524
394,234,Somerset Elementary School,2004,180
395,450,Souris Consolidated School,2004,208
396,412,Souris Regional High School,2004,326
397,451,Southern Kings Consolidated School,2004,308
398,351,Spring Park Elementary School,2004,409
399,354,St. Jean Elementary School,2004,169
400,135,St. Louis Elementary School,2004,150
401,452,St. Peter’s Consolidated School,2004,91
402,453,St. Teresa’s Consolidated School,2004,58
403,323,Stonepark Intermediate School,2004,862
404,220,Summerside Intermediate School,2004,625
405,215,Three Oaks Senior High School,2004,917
406,130,Tignish Elementary School,2004,246
407,454,Tracadie Cross Consolidated School,2004,108
408,455,Vernon River Consolidated School,2004,215
409,355,West Kent Elementary School,2004,132
410,356,West Royalty Elementary School,2004,429
411,113,Westisle Composite High School,2004,757
412,350,Westwood Primary School,2004,403
413,131,Alberton Elementary School,2005,219
414,231,Amherst Cove Consolidated School,2005,172
415,221,Athena Consolidated School,2005,386
416,440,Belfast Consolidated School,2005,214
417,320,Birchwood Intermediate School,2005,428
418,132,Bloomfield Elementary School,2005,179
419,314,Bluefield High School,2005,844
420,441,Cardigan Consolidated School,2005,153
421,341,Central Queens Elementary School,2005,214
422,310,Charlottetown Rural High School,2005,1056
423,311,Colonel Gray Senior High School,2005,963
424,344,Donagh Regional School,2005,149
425,442,Dundas Consolidated School,2005,76
426,324,East Wiltshire Intermediate School,2005,582
427,443,Eastern Kings Consolidated School,2005,72
428,510,École Évangéline,2005,291
429,511,École François-Buote,2005,210
430,515,École La-Belle-Cloche,2005,38
431,514,École Pierre-Chiasson,2005,60
432,512,École St-Augustin,2005,42
433,513,École-sur-Mer,2005,56
434,342,Eliot River Elementary School,2005,411
435,134,Ellerslie Elementary School,2005,173
436,232,Elm Street Elementary School,2005,492
437,345,Englewood School,2005,228
438,444,Fortune Consolidated School,2005,69
439,445,Georgetown Elementary School,2005,84
440,340,Glen Stewart Elementary School,2005,624
441,357,Grand Tracadie Elementary School,2005,39
442,237,Greenfield Elementary School,2005,401
443,348,Gulf Shore Consolidated School,2005,277
444,122,Hernewood Intermediate School,2005,356
445,211,Kensington Intermediate Senior High School,2005,474
446,212,Kinkora Regional High School,2005,193
447,343,L.M. Montgomery Elementary School,2005,283
448,123,M.E. Callaghan Intermediate School,2005,331
449,222,Miscouche Consolidated School,2005,256
450,446,Montague Consolidated School,2005,401
451,420,Montague Intermediate School,2005,325
452,410,Montague Regional High School,2005,725
453,447,Morell Consolidated School,2005,183
454,411,Morell Regional High School,2005,346
455,448,Mount Stewart Consolidated School,2005,70
456,133,O'Leary Elementary School,2005,195
457,346,Parkdale Elementary School,2005,118
458,236,Parkside Elementary School,2005,207
459,347,Prince Street Elementary School,2005,258
460,321,Queen Charlotte Intermediate School,2005,566
